speciesId,family,stage,attribute,classification,machineClassification,manualVisualOverride,bboxHeightRatio,bboxWidthRatio,centerOffsetX,centerOffsetY,bboxCenterOffsetX,bboxCenterOffsetY,transparentRatio,edgeContact,backgroundSuspicion,cropRisk,scaleOutlier,reason,recommendedAction
m138,F047,2,bug,KEEP,KEEP,false,0.972656,0.919922,0.010421,-0.031952,0.008789,0,0.519737,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m139,F047,3,bug,KEEP,KEEP,false,0.976563,0.958984,0.021701,-0.022366,0.008789,0.001953,0.443954,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m140,F048,1,bug,KEEP,KEEP,false,0.828125,0.839844,-0.007232,-0.021533,-0.039063,0.050781,0.694328,false,false,false,true,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m141,F048,2,bug,MANUAL_REVIEW,MANUAL_REVIEW,false,0.998047,0.994141,0.055958,-0.031444,0.00293,-0.000977,0.515354,true,false,true,false,visible content contacts canvas edge with possible clipping,manual visual review before any mutation
m142,F048,3,bug,MANUAL_REVIEW,MANUAL_REVIEW,false,0.998047,0.994141,0.069508,-0.025626,0.00293,-0.000977,0.41774,true,false,true,false,visible content contacts canvas edge with possible clipping,manual visual review before any mutation
m143,F049,1,psychic,KEEP,KEEP,false,0.873047,0.933594,-0.013959,0.013987,0.003906,-0.00293,0.698524,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m144,F049,2,psychic,KEEP,KEEP,false,0.951172,0.808594,0.000657,-0.048627,0,-0.008789,0.70705,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m145,F050,1,ghost,KEEP,KEEP,false,0.847656,0.679688,-0.028449,0.059563,0.009766,0,0.703781,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m146,F050,2,ghost,KEEP,NORMALIZE,true,0.867188,0.511719,-0.04461,0.029349,0,0,0.739052,false,false,false,false,Manual visual QA: tall/narrow book-spirit silhouette is well centered and sufficiently large; width alone does not justify normalization.,Freeze candidate.
m147,F050,3,ghost,KEEP,NORMALIZE,true,0.878906,0.470703,-0.012181,-0.014946,-0.000977,-0.005859,0.659763,false,false,false,false,Manual visual QA: tall/narrow book-spirit silhouette is well centered and sufficiently large; width alone does not justify normalization.,Freeze candidate.
m148,F051,1,dark,KEEP,KEEP,false,0.931641,0.894531,-0.004309,-0.017023,0.027344,-0.004883,0.655697,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m149,F051,2,dark,KEEP,KEEP,false,0.962891,0.978516,0.006048,0.002074,0.000977,0.008789,0.575729,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m150,F051,3,dark,KEEP,KEEP,false,0.945313,0.970703,0.005422,0.006548,0.000977,0.021484,0.617115,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m151,F052,1,dark,KEEP,KEEP,false,0.849609,0.935547,-0.023306,-0.026154,-0.004883,-0.022461,0.53941,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m152,F052,2,dark,KEEP,KEEP,false,0.712891,0.953125,-0.018944,0.030788,-0.001953,0.006836,0.635685,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m153,F052,3,dark,KEEP,KEEP,false,0.853516,0.966797,0.00462,0.024796,0.004883,0.016602,0.523956,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m154,F053,1,steel,KEEP,NORMALIZE,true,0.625,0.902344,-0.009489,0.002928,0,-0.017578,0.688473,false,false,false,false,Manual visual QA: wide armored body fills the production card strongly; reduced height is body-plan driven.,Freeze candidate.
m155,F053,2,steel,KEEP,KEEP,false,0.75,0.894531,0.008296,0.005212,0.001953,-0.029297,0.619507,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m156,F053,3,steel,KEEP,KEEP,false,0.816406,0.90625,0.023091,0.036301,0,0,0.551128,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m157,F054,1,rock,KEEP,KEEP,false,0.740234,0.748047,-0.019096,-0.007905,0.024414,-0.020508,0.661823,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m158,F054,2,rock,KEEP,KEEP,false,0.724609,0.769531,0.017486,-0.00885,0.001953,-0.004883,0.695099,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m159,F054,3,rock,KEEP,KEEP,false,0.789063,0.798828,0.031027,0.00162,0.000977,-0.001953,0.648216,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m160,F055,1,ground,NORMALIZE,NORMALIZE,false,0.643555,0.71875,-0.006788,0.063004,0,-0.000488,0.707828,false,false,false,false,apparent character scale/transparent whitespace is outside preferred roster range,Phase 2: scale/padding/centering only
m161,F055,2,ground,KEEP,KEEP,false,0.765625,0.777344,0.010187,0.036421,0,0,0.537785,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m162,F055,3,ground,KEEP,KEEP,false,0.796875,0.775391,-0.002526,0.060655,0.00293,-0.001953,0.497528,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m163,F056,1,ground,KEEP,KEEP,false,0.856445,0.875,0.009724,0.044196,0.010742,-0.008301,0.530867,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m164,F056,2,ground,KEEP,KEEP,false,0.895508,0.964844,-0.002877,0.028737,0.005859,0.000488,0.406301,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m165,F056,3,ground,KEEP,KEEP,false,0.958008,0.950195,0.000255,0.050979,-0.000488,0.002441,0.389868,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m166,F057,1,poison,KEEP,KEEP,false,0.929688,0.708984,0.003973,0.05689,-0.00293,-0.013672,0.599312,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m167,F057,2,poison,MANUAL_REVIEW,MANUAL_REVIEW,false,0.986328,0.974609,0.057718,0.066353,-0.000977,-0.006836,0.401756,true,false,true,false,visible content contacts canvas edge with possible clipping,manual visual review before any mutation
m168,F057,3,poison,KEEP,KEEP,false,0.984375,0.888672,0.033733,0.053433,0.00293,-0.001953,0.39249,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m169,F058,1,fight,KEEP,KEEP,false,0.867188,0.826172,-0.014354,0.032841,-0.006836,-0.009766,0.589779,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m170,F058,2,fight,KEEP,KEEP,false,0.884766,0.705078,-0.043423,0.049731,-0.040039,0.000977,0.592674,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m171,F058,3,fight,KEEP,KEEP,false,0.914063,0.683594,-0.005531,0.000395,-0.009766,0.011719,0.559513,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m172,F059,1,flying,KEEP,KEEP,false,0.933594,0.943359,0.013619,-0.04516,0.006836,-0.001953,0.539314,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m173,F059,2,flying,KEEP,KEEP,false,0.984375,0.988281,0.002016,-0.032094,0.001953,-0.001953,0.463078,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m174,F059,3,flying,KEEP,KEEP,false,0.990234,0.990234,0.00263,-0.031924,0.000977,-0.00293,0.430931,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m175,F060,1,fairy,NORMALIZE,NORMALIZE,false,0.746094,0.632813,0.104993,0.053763,0.105469,0.064453,0.803635,false,false,false,false,visible centroid is materially off-center,Phase 2: scale/padding/centering only
m176,F060,2,fairy,KEEP,KEEP,false,0.808594,0.876953,0.00267,0.018104,0.061523,0.013672,0.663441,true,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m177,F060,3,fairy,KEEP,KEEP,false,0.798828,0.953125,0.038673,0.005634,0.023438,-0.000977,0.577057,true,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m178,F061,1,electric,NORMALIZE,NORMALIZE,false,0.585938,0.748047,0.000559,-0.000882,0.016602,0.027344,0.683338,false,false,false,true,apparent character scale/transparent whitespace is outside preferred roster range,Phase 2: scale/padding/centering only
m179,F061,2,electric,NORMALIZE,NORMALIZE,false,0.580078,0.824219,0.000259,-0.000883,0.023438,0.032227,0.676605,false,false,false,true,apparent character scale/transparent whitespace is outside preferred roster range,Phase 2: scale/padding/centering only
m180,F061,3,electric,NORMALIZE,NORMALIZE,false,0.568359,0.769531,-0.000592,-0.000483,0.03125,0.018555,0.747612,false,false,false,true,apparent character scale/transparent whitespace is outside preferred roster range,Phase 2: scale/padding/centering only
m181,F062,1,normal,KEEP,KEEP,false,0.996875,0.7375,0.028612,-0.002008,0.026562,0,0.544109,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m182,F062,2,normal,KEEP,KEEP,false,0.985938,0.985938,0.009553,-0.000027,0.000781,-0.000781,0.304326,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m183,F062,3,normal,KEEP,KEEP,false,0.98125,0.970313,0.020122,-0.050475,0.010156,-0.007813,0.485403,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m184,F063,1,dragon,KEEP,KEEP,false,0.771484,0.824219,-0.040794,0.008521,0.007813,-0.004883,0.698574,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m185,F063,2,dragon,KEEP,KEEP,false,0.824219,0.851563,0.021968,-0.023247,0.001953,0.007813,0.611687,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m186,F063,3,dragon,KEEP,KEEP,false,0.849609,0.871094,0.026308,-0.019554,0,-0.000977,0.526577,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m187,F064,1,dragon,KEEP,KEEP,false,0.771484,0.722656,0.043996,0.018691,0,0.010742,0.685108,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m188,F064,2,dragon,KEEP,KEEP,false,0.777344,0.677734,0.003813,0.011359,-0.000977,0.007813,0.685211,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m189,F064,3,dragon,KEEP,KEEP,false,0.769531,0.589844,0.00907,-0.009195,0,0.009766,0.732246,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m190,F065,1,dragon,KEEP,KEEP,false,0.757813,0.681641,0.004667,0.015968,-0.00293,-0.001953,0.627007,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m191,F065,2,dragon,KEEP,KEEP,false,0.757813,0.666016,0.000911,-0.003994,0.000977,0.003906,0.619576,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m192,F065,3,dragon,KEEP,KEEP,false,0.773438,0.638672,-0.001463,0.010358,-0.00293,0,0.634888,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m193,F066,1,psychic,KEEP,KEEP,false,0.953125,0.785156,-0.001206,0.007028,-0.001953,-0.007813,0.650295,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m194,F066,2,psychic,KEEP,KEEP,false,0.9375,0.878906,0.025704,-0.023934,-0.003906,-0.001953,0.666401,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m195,F066,3,psychic,KEEP,KEEP,false,0.927734,0.855469,-0.000396,0.009424,-0.001953,-0.010742,0.712006,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m196,F067,1,steel,KEEP,NORMALIZE,true,0.869141,0.609375,-0.009065,-0.030489,0.025391,0.006836,0.772308,false,false,false,false,Manual visual QA: tall stage1 bird silhouette has strong presence and is appropriately smaller in width than evolved winged stages.,Freeze candidate.
m197,F067,2,steel,KEEP,KEEP,false,0.892578,0.896484,0.023275,-0.048102,-0.000977,-0.004883,0.637066,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m198,F067,3,steel,KEEP,KEEP,false,0.886719,0.898438,-0.015517,-0.033704,-0.001953,0,0.590893,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m199,F068,1,steel,KEEP,KEEP,false,0.894531,0.896484,0.048021,-0.000061,-0.000977,0,0.509003,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m200,F068,2,steel,KEEP,KEEP,false,0.898438,0.783203,0.045446,-0.002531,-0.000977,0,0.631218,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m201,F068,3,steel,KEEP,KEEP,false,0.898438,0.839844,0.051884,0.008282,0,0,0.584148,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m202,F069,1,ghost,NORMALIZE,NORMALIZE,false,0.621094,0.357422,0.000969,0.042782,0.000977,0.011719,0.866673,false,false,false,true,apparent character scale/transparent whitespace is outside preferred roster range,Phase 2: scale/padding/centering only
m203,F069,2,ghost,NORMALIZE,NORMALIZE,false,0.769531,0.523438,0.000083,0.001036,0.015625,-0.003906,0.809673,false,false,false,true,,Phase 2: scale/padding/centering only
m204,F069,3,ghost,KEEP,NORMALIZE,true,0.890625,0.501953,0.009566,0.011385,-0.00293,0,0.682438,false,false,false,false,Manual visual QA: tall final-stage ghost silhouette has strong presence; narrow width is body-plan driven.,Freeze candidate.
m205,F070,1,dark,KEEP,KEEP,false,0.738281,0.955078,-0.004998,0.037907,-0.00293,-0.001953,0.567837,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m206,F070,2,dark,NORMALIZE,NORMALIZE,false,0.621094,0.96875,0.002889,0.010638,0,0,0.632187,false,false,false,false,apparent character scale/transparent whitespace is outside preferred roster range,Phase 2: scale/padding/centering only
m207,F070,3,dark,KEEP,KEEP,false,0.794922,0.972656,-0.001736,0.030055,-0.001953,0.008789,0.501518,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m208,F071,1,fairy,KEEP,KEEP,false,0.908203,0.873047,-0.022998,0.015006,0.000977,0.014648,0.623352,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m209,F071,2,fairy,KEEP,KEEP,false,0.970703,0.779297,0.004136,-0.015372,0.000977,-0.000977,0.534397,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m210,F071,3,fairy,KEEP,KEEP,false,0.978516,0.640625,0.008688,-0.006643,0,0.00293,0.569626,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m211,F072,1,fire,KEEP,KEEP,false,0.794922,0.748047,-0.065491,0.001336,-0.000977,-0.000977,0.63089,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m212,F072,2,fire,KEEP,NORMALIZE,true,0.638672,0.816406,0.011487,-0.008036,0,0.000977,0.674278,false,false,false,false,Manual visual QA: wide-wing stage2 bird has strong apparent size; low bbox height is wing/body-plan driven.,Freeze candidate.
m213,F072,3,fire,KEEP,NORMALIZE,true,0.5,0.835938,0.053347,-0.077806,0,-0.009766,0.740749,false,false,false,false,Manual visual QA: wide-wing final-stage bird fills the card width and is bbox-centered; alpha-centroid offset is caused by asymmetric wing/tail mass.,Freeze candidate.
m214,F073,1,water,KEEP,KEEP,false,0.974609,0.769531,0.034101,-0.010576,0.011719,-0.00293,0.582584,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m215,F073,2,water,MANUAL_REVIEW,MANUAL_REVIEW,false,1,0.818359,0.037541,0.000073,0.014648,0,0.503288,true,false,true,false,visible content contacts canvas edge with possible clipping,manual visual review before any mutation
m216,F073,3,water,MANUAL_REVIEW,MANUAL_REVIEW,false,0.996094,0.935547,0.038038,0.006961,0.00293,0.001953,0.420769,true,false,true,false,visible content contacts canvas edge with possible clipping,manual visual review before any mutation
m217,F074,1,electric,KEEP,KEEP,false,0.796875,0.75,-0.008483,0.011555,0.009766,-0.007813,0.722614,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m218,F074,2,electric,NORMALIZE,NORMALIZE,false,0.601563,0.835938,0.053785,0.008604,0.046875,0.001953,0.668571,false,false,false,true,apparent character scale/transparent whitespace is outside preferred roster range,Phase 2: scale/padding/centering only
m219,F074,3,electric,NORMALIZE,NORMALIZE,false,0.640625,0.787109,0.059179,0.008257,0.040039,0,0.692108,false,false,false,true,apparent character scale/transparent whitespace is outside preferred roster range,Phase 2: scale/padding/centering only
m220,F075,1,fight,NORMALIZE,NORMALIZE,false,0.876953,0.642578,-0.08601,0.06426,-0.063477,-0.000977,0.706329,false,false,false,false,visible centroid is materially off-center,Phase 2: scale/padding/centering only
m221,F075,2,fight,NORMALIZE,NORMALIZE,false,0.888672,0.681641,-0.097838,0.042902,-0.057617,0.000977,0.636608,false,false,false,false,visible centroid is materially off-center,Phase 2: scale/padding/centering only
m222,F075,3,fight,KEEP,KEEP,false,0.914063,0.705078,-0.028145,0.031751,-0.008789,-0.011719,0.525414,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m223,F076,1,flying,KEEP,KEEP,false,0.832031,0.921875,0.023141,0.003449,-0.001953,-0.005859,0.547092,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m224,F076,2,flying,KEEP,KEEP,false,0.925781,0.958984,0.031798,0.007585,-0.00293,-0.001953,0.490486,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m225,F076,3,flying,KEEP,KEEP,false,0.970703,0.978516,0.004075,0.008766,-0.000977,0.000977,0.422997,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m226,F077,1,bug,KEEP,KEEP,false,0.826172,0.943359,0.02574,-0.029788,0.012695,0.004883,0.70327,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m227,F077,2,bug,KEEP,KEEP,false,0.892578,0.980469,0.02389,-0.021731,0.003906,0.008789,0.602512,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m228,F077,3,bug,KEEP,KEEP,false,0.988281,0.980469,0.047187,-0.034704,0,-0.001953,0.485046,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m229,F078,1,poison,MANUAL_REVIEW,KEEP,true,0.880859,0.859375,0.026286,-0.025941,-0.003906,-0.00293,0.635296,false,false,false,false,Manual visual QA: F078 stage1 is scene-backed and reads as a small dark cat-like creature while stages2/3 read as large winged poison creatures; family/body-plan continuity is unresolved and background repair alone may be insufficient.,"Manual family/stage review; if stage1 concept is rejected, regenerate only m229 in Phase 2."
m230,F078,2,poison,MANUAL_REVIEW,MANUAL_REVIEW,false,0.990234,0.998047,-0.010038,0.0019,0.000977,-0.00293,0.452915,true,false,true,false,visible content contacts canvas edge with possible clipping,manual visual review before any mutation
m231,F078,3,poison,MANUAL_REVIEW,MANUAL_REVIEW,false,0.998047,0.998047,0.001472,-0.018421,0.000977,0.000977,0.314487,true,false,true,false,visible content contacts canvas edge with possible clipping,manual visual review before any mutation
m232,F079,1,normal,KEEP,KEEP,false,0.736328,0.628906,0.00345,0.013756,0,-0.000977,0.655079,false,false,false,true,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m233,F079,2,normal,REPAIR,NORMALIZE,true,0.303125,0.365625,0.035841,-0.01499,0,0,0.970374,false,false,false,true,Manual visual QA: tiny character also contains a detached stray fragment at left; normalization alone cannot remove the pixel artifact.,"Phase 2: remove detached artifact, then normalize scale/placement non-destructively."
m234,F079,3,normal,REPAIR,NORMALIZE,true,0.360938,0.36875,0.034344,0.023336,0.003125,0.003906,0.945103,false,false,false,true,Manual visual QA: visible text/label-like marks appear above the creature; normalization alone cannot remove this production-unsafe pixel artifact.,"Phase 2: remove text/mark artifact, then normalize scale/placement non-destructively."
m235,F080,1,grass,MANUAL_REVIEW,REPAIR,true,1,1,-0.000977,-0.000977,0,0,0,true,true,false,false,Manual visual QA: image is dominated by a horizontal forest/tree scene rather than an unambiguous isolated monster; safe separation of creature from scenery is uncertain.,Manual concept review before deciding repair versus single-species regeneration in Phase 2.
m236,F081,1,psychic,KEEP,KEEP,false,0.914063,0.941406,-0.000815,-0.039229,0.003906,-0.003906,0.716717,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m237,F082,1,ground,KEEP,KEEP,false,0.947266,0.944336,0.011031,0.044166,-0.004395,0.003906,0.414721,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
m238,F083,1,rock,KEEP,KEEP,false,0.728516,0.835938,0.014478,-0.003801,-0.005859,0.000977,0.657913,false,false,false,false,no destructive/background/crop/family/style concern detected by audit evidence,freeze candidate
